cycles,offers,contracts,escrows
01,00,00,00
02,01,00,00
03,02,00,00
04,03,00,00
05,04,00,00
06,05,00,00
07,06,00,00
08,07,00,00
09,08,00,00
10,09,00,00
11,10,00,00
12,11,00,00
13,12,00,00
14,13,00,00
15,14,00,00
16,15,00,00
17,16,00,00
18,17,00,00
19,17,01,01
20,18,01,01
21,19,01,01
22,20,01,01
23,20,02,02
24,21,02,02
25,21,03,03
26,22,03,03
27,23,03,03
28,24,03,03
29,24,03,04
30,25,03,04
31,26,03,04
32,27,03,04
33,28,03,04
34,29,03,04
35,30,03,04
36,31,03,04
37,31,04,05
38,32,04,05
39,31,04,06
40,32,04,06
41,33,04,06
42,34,04,06
43,34,05,07
44,35,05,07
45,36,05,07
46,37,05,07
47,36,05,09
48,37,05,09
49,38,05,09
50,39,05,09
51,40,05,09
52,41,05,09
53,39,05,11
54,40,05,11
55,41,05,11
56,42,05,11
57,43,05,11
58,44,05,11
59,45,05,11
60,46,05,11
61,45,06,12
62,46,06,12
63,46,07,13
64,47,07,13
65,47,08,14
66,48,08,14
67,45,10,18
68,46,10,18
69,44,10,20
70,45,10,20
71,45,11,21
72,46,11,21
73,45,11,22
74,46,11,22
75,47,11,22
76,48,11,22
77,47,12,23
78,48,12,23
79,48,13,24
80,49,13,24
81,50,13,24
82,51,13,24
83,51,13,25
84,52,13,25
85,52,14,26
86,53,14,26
87,51,14,28
88,52,14,28
89,53,14,28
90,54,14,28
91,55,14,28
92,56,14,28
93,56,15,29
94,57,15,29
95,56,15,31
96,57,15,31
97,55,15,34
98,56,15,34
99,55,15,36
