user\day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
user0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user1,0.0,0.0,90.0,90.0,90.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
user2,0.0,0.0,0.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
user3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,185.0,185.0,185.0,270.0,270.0,270.0
user4,0.0,0.0,0.0,95.0,95.0,190.0,190.0,285.0,285.0,285.0,285.0,285.0,285.0,375.0,375.0
user5,0.0,0.0,0.0,95.0,95.0,95.0,190.0,190.0,285.0,370.0,370.0,465.0,465.0,465.0,560.0
user6,0.0,0.0,0.0,80.0,80.0,165.0,165.0,165.0,245.0,245.0,245.0,340.0,340.0,340.0,430.0
user7,0.0,0.0,0.0,80.0,80.0,80.0,175.0,175.0,175.0,175.0,175.0,175.0,260.0,260.0,260.0
user8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,170.0,170.0,260.0
user9,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
user10,0.0,0.0,0.0,0.0,95.0,95.0,95.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,285.0
user11,0.0,0.0,0.0,85.0,85.0,85.0,85.0,170.0,170.0,250.0,250.0,330.0,425.0,425.0,425.0
user12,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,85.0,180.0,180.0,180.0,275.0,275.0,275.0
user13,0.0,0.0,85.0,85.0,180.0,265.0,265.0,265.0,345.0,440.0,440.0,530.0,530.0,530.0,625.0
user14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user15,0.0,0.0,95.0,95.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,285.0,370.0,370.0
user16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
